SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,March-10-2022,Condo/Co-op,203 K St #5,Boston,MA,02127,975000,2,1.0,South Boston,1108,1108,2000,9,880,321,Sold,,,https://www.redfin.com/MA/Boston/203-K-St-02127/unit-5/home/9302986,MLS PIN,72936929,N,Y,42.336331,-71.0375488
PAST SALE,December-30-2021,Condo/Co-op,5 Whitby Ter #1,Boston,MA,02125,505000,3,1.0,Dorchester's Savin Hill,872,,1910,79,579,160,Sold,,,https://www.redfin.com/MA/Dorchester/5-Whitby-Ter-02125/unit-1/home/160599322,MLS PIN,72912886,N,Y,42.314579,-71.060432
PAST SALE,March-2-2022,Condo/Co-op,20 W Fifth Unit 2D,Boston,MA,02127,910000,2,2.0,South Boston,1132,,2021,17,804,482,Sold,,,https://www.redfin.com/MA/Boston/20-W-Fifth-St-02127/unit-2D/home/173086440,MLS PIN,72911187,N,Y,42.3401945,-71.0561375
PAST SALE,March-8-2022,Condo/Co-op,133 Seaport Blvd #516,Boston,MA,02210,1195000,1,1.0,Seaport District,661,,2019,11,1808,1150,Sold,,,https://www.redfin.com/MA/Boston/133-Seaport-Blvd-02210/unit-516/home/173134516,MLS PIN,72890516,N,Y,42.3505253,-71.0436017
PAST SALE,December-24-2021,Condo/Co-op,27 Swallow St #1,Boston,MA,02127,580000,1,1.0,South Boston's City Point,885,,1920,85,655,250,Sold,,,https://www.redfin.com/MA/Boston/27-Swallow-St-02127/unit-1/home/175011912,MLS PIN,72928966,N,Y,42.3335193,-71.0300209
PAST SALE,January-21-2022,Condo/Co-op,188 Boston St #2,Boston,MA,02125,555000,2,2.0,Dorchester,926,,1910,57,599,248,Sold,,,https://www.redfin.com/MA/Dorchester/188-Boston-St-02125/unit-2/home/175118740,MLS PIN,72922965,N,Y,42.3233345,-71.0601535
PAST SALE,January-13-2022,Condo/Co-op,133 Seaport Blvd #520,Boston,MA,02210,1295000,1,1.0,Seaport District,693,,2019,65,1869,1312,Sold,,,https://www.redfin.com/MA/Boston/133-Seaport-Blvd-02210/unit-520/home/175644996,MLS PIN,72921307,N,Y,42.3505253,-71.0436017
PAST SALE,February-25-2022,Condo/Co-op,520-526 Dorchester Ave Unit 2R,Boston,MA,02127,895000,2,2.0,South Boston,1340,,2020,22,668,229,Sold,,,https://www.redfin.com/MA/Boston/520-Dorchester-Ave-02127/unit-2R/home/176501615,MLS PIN,72899319,N,Y,42.3314571,-71.0567714
PAST SALE,January-7-2022,Condo/Co-op,18 Melvin Ave #7,Boston,MA,02135,446000,2,1.0,Brighton,814,814,1910,71,548,514,Sold,,,https://www.redfin.com/MA/Boston/18-Melvin-Ave-02135/unit-7/home/9001855,MLS PIN,72884824,N,Y,42.3444544,-71.1410513
PAST SALE,January-27-2022,Condo/Co-op,1576 Commonwealth Ave #3,Boston,MA,02135,300000,0,1.0,Boston,333,,1920,51,901,316,Sold,,,https://www.redfin.com/MA/Boston/1576-Commonwealth-Ave-02135/unit-3/home/9016875,MLS PIN,72932817,N,Y,42.3437309,-71.1424393
